storage_number,cell_barcode,barcode,cell,material,match_status
Test#A8-0000008,Test_2025_01_16_7632,7632,196,AL_A_1200,OK
Test#B8-0000008,Test_2025_01_16_7632,7632,196,AL_A_1200,OK
Test#A4-0000124,Test_2025_01_16_7629,7629,198,AL_A_1200,OK
Test#B4-0000124,Test_2025_01_16_7629,7629,198,AL_A_1200,OK
Test#A5-0000125,Test_2025_01_16_7631,7631,199,AL_A_1200,OK
Test#B5-0000125,Test_2025_01_16_7631,7631,199,AL_A_1200,OK
Test#A5-0000133,Test_2025_01_16_7627,7627,200,AL_A_1200,OK
Test#B5-0000133,Test_2025_01_16_7627,7627,200,AL_A_1200,OK
Test#A2-0000050,Test_2025_01_16_7613,7613,201,AL_A_1000,OK
Test#B2-0000050,Test_2025_01_16_7613,7613,201,AL_A_1000,OK
Test#A2-0000058,Test_2025_01_16_7612,7612,202,AL_A_1000,OK
Test#B2-0000058,Test_2025_01_16_7612,7612,202,AL_A_1000,OK
Test#A2-0000130,Test_2025_01_16_7611,7611,203,AL_A_1000,OK
Test#B2-0000130,Test_2025_01_16_7611,7611,203,AL_A_1000,OK
Test#A7-0000015,Test_2025_01_16_7610,7610,204,AL_A_1000,OK
Test#B7-0000015,Test_2025_01_16_7610,7610,204,AL_A_1000,OK
Test#A1-0000145,Test_2025_01_16_7609,7609,205,AL_A_1000,OK
Test#B1-0000145,Test_2025_01_16_7609,7609,205,AL_A_1000,OK
Test#A8-0000104,Test_2025_01_16_7614,7614,207,AL_A_1000,OK
Test#B8-0000104,Test_2025_01_16_7614,7614,207,AL_A_1000,OK
Test#A2-0000146,Test_2025_01_16_7605,7605,209,AL_A_1000,OK
Test#B2-0000146,Test_2025_01_16_7605,7605,209,AL_A_1000,OK
Test#A8-0000112,Test_2025_01_16_7596,7596,211,SCRAP7,OK
Test#B8-0000112,Test_2025_01_16_7596,7596,211,SCRAP7,OK
Test#A7-0000111,Test_2025_01_16_7598,7598,213,SCRAP7,OK
Test#B7-0000111,Test_2025_01_16_7598,7598,213,SCRAP7,OK
Test#A3-0000131,Test_2025_01_16_7592,7592,214,SCRAP7,OK
Test#B3-0000131,Test_2025_01_16_7592,7592,214,SCRAP7,OK
Test#A1-0000105,Test_2025_01_16_7599,7599,215,SCRAP7,OK
Test#B1-0000105,Test_2025_01_16_7599,7599,215,SCRAP7,OK
Test#A4-0000148,Test_2025_01_16_7595,7595,217,SCRAP7,OK
Test#B4-0000148,Test_2025_01_16_7595,7595,217,SCRAP7,OK
Test#A4-0000140,Test_2025_01_16_7620,7620,219,AL_A_1200,OK
Test#B4-0000140,Test_2025_01_16_7620,7620,219,AL_A_1200,OK
Test#A2-0000138,Test_2025_01_16_7617,7617,220,AL_A_1200,OK
Test#B2-0000138,Test_2025_01_16_7617,7617,220,AL_A_1200,OK
Test#A5-0000141,Test_2025_01_16_7624,7624,221,AL_A_1200,OK
Test#B5-0000141,Test_2025_01_16_7624,7624,221,AL_A_1200,OK
Test#A2-0000106,Test_2025_01_16_7622,7622,222,AL_A_1200,OK
Test#B2-0000106,Test_2025_01_16_7622,7622,222,AL_A_1200,OK
Test#A6-0000102,Test_2025_01_16_7621,7621,223,AL_A_1200,OK
Test#B6-0000102,Test_2025_01_16_7621,7621,223,AL_A_1200,OK
Test#A8-0000096,Test_2025_01_16_7591,7591,224,SCRAP7,OK
Test#B8-0000096,Test_2025_01_16_7591,7591,224,SCRAP7,OK
Test#A4-0000132,Test_2025_01_16_7587,7587,226,SCRAP7,OK
Test#B4-0000132,Test_2025_01_16_7587,7587,226,SCRAP7,OK
Test#A5-0000109,Test_2025_01_16_7586,7586,227,SCRAP7,OK
Test#B5-0000109,Test_2025_01_16_7586,7586,227,SCRAP7,OK
Test#A8-0000144,Test_2025_01_16_7585,7585,228,SCRAP7,OK
Test#B8-0000144,Test_2025_01_16_7585,7585,228,SCRAP7,OK
Test#A5-0000149,Test_2025_01_16_7583,7583,229,SCRAP7,OK
Test#B5-0000149,Test_2025_01_16_7583,7583,229,SCRAP7,OK
Test#A8-0000152,Test_2025_01_16_7692,7692,236,SCRAP6,OK
Test#B8-0000152,Test_2025_01_16_7692,7692,236,SCRAP6,OK
Test#A2-0000026,Test_2025_01_16_7696,7696,237,SCRAP6,OK
Test#B2-0000026,Test_2025_01_16_7696,7696,237,SCRAP6,OK
Test#A4-0000020,Test_2025_01_16_7739,7739,247,SUS400,OK
Test#B4-0000020,Test_2025_01_16_7739,7739,247,SUS400,OK
Test#A5-0000069,Test_2025_01_16_7740,7740,249,SUS400,OK
Test#B5-0000069,Test_2025_01_16_7740,7740,249,SUS400,OK
Test#A5-0000021,Test_2025_01_16_7528,7528,251,SUS400,OK
Test#B5-0000021,Test_2025_01_16_7528,7528,251,SUS400,OK
Test#A4-0000100,Test_2025_01_16_7777,7777,254,CU400,OK
