No,cell_barcode,barcode,cell,A열_저장번호,A열_이물정보,B열_저장번호,B열_이물정보,match_status
95,Test_2025_01_16_7684,7684,19,Test#A7-0000095,SCRAP/SCRAP/6X6/B,Test#B7-0000095,SCRAP/SCRAP/6X6/B,OK
96,Test_2025_01_16_7591,7591,224,Test#A8-0000096,SCRAP/SCRAP/7X7/A1,Test#B8-0000096,SCRAP/SCRAP/7X7/A1,OK
97,Test_2025_01_16_7685,7685,17,Test#A1-0000097,SCRAP/SCRAP/6X6/B,Test#B1-0000097,SCRAP/SCRAP/6X6/B,OK
98,Test_2025_01_16_7771,7771,88,Test#A2-0000098,CU/BALL/400/A2C1,Test#B2-0000098,CU/BALL/400/A2C1,OK
99,Test_2025_01_16_7710,7710,56,Test#A3-0000099,AL/BALL/1000/A1C1,Test#B3-0000099,AL/BALL/1000/A1C1,OK
100,Test_2025_01_16_7777,7777,254,Test#A4-0000100,CU/BALL/400/A1C1C2,Test#B4-0000100,CU/BALL/400/A1C1C2,OK
101,Test_2025_01_16_7766,7766,96,Test#A5-0000101,CU/BALL/500/A1C1,Test#B5-0000101,CU/BALL/500/A1C1,OK
102,Test_2025_01_16_7621,7621,223,Test#A6-0000102,AL/BALL/1200/A2C1,Test#B6-0000102,AL/BALL/1200/A2C1,OK
103,Test_2025_01_16_7763,7763,93,Test#A7-0000103,CU/BALL/500/A1C1,Test#B7-0000103,CU/BALL/500/A1C1,OK
104,Test_2025_01_16_7614,7614,207,Test#A8-0000104,AL/BALL/1000/A2C1,Test#B8-0000104,AL/BALL/1000/A2C1,OK
105,Test_2025_01_16_7599,7599,215,Test#A1-0000105,SCRAP/SCRAP/7X7/A2,Test#B1-0000105,SCRAP/SCRAP/7X7/A2,OK
106,Test_2025_01_16_7622,7622,222,Test#A2-0000106,AL/BALL/1200/A2C1,Test#B2-0000106,AL/BALL/1200/A2C1,OK
107,Test_2025_01_16_7780,7780,83,Test#A3-0000107,CU/BALL/400/A1C1,Test#B3-0000107,CU/BALL/400/A1C1,OK
108,Test_2025_01_16_7616,7616,192,Test#A4-0000108,AL/BALL/1200/A2C1,Test#B4-0000108,AL/BALL/1200/A2C1,OK
109,Test_2025_01_16_7586,7586,227,Test#A5-0000109,SCRAP/SCRAP/7X7/A1,Test#B5-0000109,SCRAP/SCRAP/7X7/A1,OK
110,Test_2025_01_16_7615,7615,193,Test#A6-0000110,AL/BALL/1200/A2C1,Test#B6-0000110,AL/BALL/1200/A2C1,OK
111,Test_2025_01_16_7598,7598,213,Test#A7-0000111,SCRAP/SCRAP/7X7/A2,Test#B7-0000111,SCRAP/SCRAP/7X7/A2,OK
112,Test_2025_01_16_7596,7596,211,Test#A8-0000112,SCRAP/SCRAP/7X7/A2,Test#B8-0000112,SCRAP/SCRAP/7X7/A2,OK
113,Test_2025_01_16_7758,7758,104,Test#A1-0000113,CU/BALL/500/A2C1,Test#B1-0000113,CU/BALL/500/A2C1,OK
114,Test_2025_01_16_7523,7523,165,Test#A2-0000114,CU/BALL/500/BC1C2,Test#B2-0000114,CU/BALL/500/BC1C2,OK
115,Test_2025_01_16_7754,7754,100,Test#A3-0000115,CU/BALL/500/A2C1,Test#B3-0000115,CU/BALL/500/A2C1,OK
116,Test_2025_01_16_7519,7519,169,Test#A4-0000116,CU/BALL/500/BC1C2,Test#B4-0000116,CU/BALL/500/BC1C2,OK
117,Test_2025_01_16_7553,7553,143,Test#A5-0000117,AL/BALL/1000/BC1,Test#B5-0000117,AL/BALL/1000/BC1,OK
118,Test_2025_01_16_7561,7561,135,Test#A6-0000118,AL/BALL/1200/BC1,Test#B6-0000118,AL/BALL/1200/BC1,OK
119,Test_2025_01_16_7637,7637,177,Test#A7-0000119,AL/BALL/1200/A1C1,Test#B7-0000119,AL/BALL/1200/A1C1,OK
120,Test_2025_01_16_7756,7756,102,Test#A8-0000120,CU/BALL/500/A2C1,Test#B8-0000120,CU/BALL/500/A2C1,OK
121,Test_2025_01_16_7566,7566,130,Test#A1-0000121,AL/BALL/1200/BC1,Test#B1-0000121,AL/BALL/1200/BC1,OK
122,Test_2025_01_16_7619,7619,187,Test#A2-0000122,AL/BALL/1200/A2C1,Test#B2-0000122,AL/BALL/1200/A2C1,OK
123,Test_2025_01_16_7725,7725,39,Test#A3-0000123,SUS/BALL/500/A2C1,Test#B3-0000123,SUS/BALL/500/A2C1,OK
124,Test_2025_01_16_7629,7629,198,Test#A4-0000124,AL/BALL/1200/A1C1,Test#B4-0000124,AL/BALL/1200/A1C1,OK
125,Test_2025_01_16_7631,7631,199,Test#A5-0000125,AL/BALL/1200/A1C1,Test#B5-0000125,AL/BALL/1200/A1C1,OK
126,Test_2025_01_16_7568,7568,128,Test#A6-0000126,AL/BALL/1200/BC1,Test#B6-0000126,AL/BALL/1200/BC1,OK
127,Test_2025_01_16_7540,7540,152,Test#A7-0000127,SUS/BALL/500/BC1C2,Test#B7-0000127,SUS/BALL/500/BC1C2,OK
128,Test_2025_01_16_7521,7521,167,Test#A8-0000128,CU/BALL/500/BC1C2,Test#B8-0000128,CU/BALL/500/BC1C2,OK
129,Test_2025_01_16_7552,7552,141,Test#A1-0000129,AL/BALL/1000/BC1,Test#B1-0000129,AL/BALL/1000/BC1,OK
130,Test_2025_01_16_7611,7611,203,Test#A2-0000130,AL/BALL/1000/A2C1,Test#B2-0000130,AL/BALL/1000/A2C1,OK
131,Test_2025_01_16_7592,7592,214,Test#A3-0000131,SCRAP/SCRAP/7X7/A2,Test#B3-0000131,SCRAP/SCRAP/7X7/A2,OK
132,Test_2025_01_16_7587,7587,226,Test#A4-0000132,SCRAP/SCRAP/7X7/A1,Test#B4-0000132,SCRAP/SCRAP/7X7/A1,OK
133,Test_2025_01_16_7627,7627,200,Test#A5-0000133,AL/BALL/1200/A1C1,Test#B5-0000133,AL/BALL/1200/A1C1,OK
134,Test_2025_01_16_7687,7687,14,Test#A6-0000134,SCRAP/SCRAP/6X6/A2,Test#B6-0000134,SCRAP/SCRAP/6X6/A2,OK
135,Test_2025_01_16_7562,7562,134,Test#A7-0000135,AL/BALL/1200/BC1,Test#B7-0000135,AL/BALL/1200/BC1,OK
136,Test_2025_01_16_7555,7555,NULL,Test#A8-0000136,매칭 실패,Test#B8-0000136,매칭 실패,barcode 매칭 실패
137,Test_2025_01_16_7695,7695,6,Test#A1-0000137,SCRAP/SCRAP/6X6/A1,Test#B1-0000137,SCRAP/SCRAP/6X6/A1,OK
138,Test_2025_01_16_7617,7617,220,Test#A2-0000138,AL/BALL/1200/A2C1,Test#B2-0000138,AL/BALL/1200/A2C1,OK
139,Test_2025_01_16_7597,7597,NULL,Test#A3-0000139,매칭 실패,Test#B3-0000139,매칭 실패,barcode 매칭 실패
140,Test_2025_01_16_7620,7620,219,Test#A4-0000140,AL/BALL/1200/A2C1,Test#B4-0000140,AL/BALL/1200/A2C1,OK
141,Test_2025_01_16_7624,7624,221,Test#A5-0000141,AL/BALL/1200/A2C1,Test#B5-0000141,AL/BALL/1200/A2C1,OK
142,Test_2025_01_16_7667,7667,29,Test#A6-0000142,SCRAP/SCRAP/7X7/B,Test#B6-0000142,SCRAP/SCRAP/7X7/B,OK
143,Test_2025_01_16_7623,7623,191,Test#A7-0000143,AL/BALL/1200/A2C1,Test#B7-0000143,AL/BALL/1200/A2C1,OK
144,Test_2025_01_16_7585,7585,228,Test#A8-0000144,SCRAP/SCRAP/7X7/A1,Test#B8-0000144,SCRAP/SCRAP/7X7/A1,OK
145,Test_2025_01_16_7609,7609,205,Test#A1-0000145,AL/BALL/1000/A2C1,Test#B1-0000145,AL/BALL/1000/A2C1,OK
146,Test_2025_01_16_7605,7605,209,Test#A2-0000146,AL/BALL/1000/A2C1,Test#B2-0000146,AL/BALL/1000/A2C1,OK
147,Test_2025_01_16_7563,7563,133,Test#A3-0000147,AL/BALL/1200/BC1,Test#B3-0000147,AL/BALL/1200/BC1,OK
148,Test_2025_01_16_7595,7595,217,Test#A4-0000148,SCRAP/SCRAP/7X7/A2,Test#B4-0000148,SCRAP/SCRAP/7X7/A2,OK
149,Test_2025_01_16_7583,7583,229,Test#A5-0000149,SCRAP/SCRAP/7X7/A1,Test#B5-0000149,SCRAP/SCRAP/7X7/A1,OK
150,Test_2025_01_16_7608,7608,267,Test#A6-0000150,AL/BALL/1000/A2C1,Test#B6-0000150,AL/BALL/1000/A2C1,OK
151,Test_2025_01_16_7662,7662,115,Test#A7-0000151,SCRAP/SCRAP/7X7/B,Test#B7-0000151,SCRAP/SCRAP/7X7/B,OK
152,Test_2025_01_16_7692,7692,236,Test#A8-0000152,SCRAP/SCRAP/6X6/A2,Test#B8-0000152,SCRAP/SCRAP/6X6/A2,OK
